,TICKER,quarternum,analyst,forecast_value,year,earn_value,std,Analyst_Counts,the max_forecast-min_forecast,delta_return,Y
0,AA,3,3700,4.3125,1996,0.5775,0.6027281725620597,3,1.125,57.375,0
1,AA,3,281,4.125,1996,0.5775,0.6027281725620597,3,1.125,57.375,0
2,AA,3,4088,3.1875,1996,0.5775,0.6027281725620597,3,1.125,57.375,0
3,AA,3,662,3.0,1997,0.9375,0.47876795005513895,3,0.9375,78.5625,0
4,AA,3,472,3.9375,1997,0.9375,0.47876795005513895,3,0.9375,78.5625,0
5,AA,3,281,3.3,1997,0.9375,0.47876795005513895,3,0.9375,78.5625,0
6,AA,3,478,3.1275,1998,0.9075,1.5045549591158178,5,4.2,78.25,0
7,AA,3,18096,3.2625,1998,0.9075,1.5045549591158178,5,4.2,78.25,0
8,AA,3,17860,3.12,1998,0.9075,1.5045549591158178,5,4.2,78.25,0
9,AA,3,281,5.7,1998,0.9075,1.5045549591158178,5,4.2,78.25,0
10,AA,3,1290,1.5,1998,0.9075,1.5045549591158178,5,4.2,78.25,0
11,AA,3,297,2.55,1999,1.035,0.6798657955802748,5,1.7999999999999998,,0
12,AA,3,2894,3.855,1999,1.035,0.6798657955802748,5,1.7999999999999998,,0
13,AA,3,281,3.6,1999,1.035,0.6798657955802748,5,1.7999999999999998,,0
14,AA,3,56581,4.35,1999,1.035,0.6798657955802748,5,1.7999999999999998,,0
15,AA,3,610,3.975,1999,1.035,0.6798657955802748,5,1.7999999999999998,,0
16,AA,3,281,6.3,2000,1.26,0.8429857650043684,7,2.475,,0
17,AA,3,40365,6.45,2000,1.26,0.8429857650043684,7,2.475,,0
18,AA,3,472,3.975,2000,1.26,0.8429857650043684,7,2.475,,0
19,AA,3,2894,6.15,2000,1.26,0.8429857650043684,7,2.475,,0
20,AA,3,478,6.0,2000,1.26,0.8429857650043684,7,2.475,,0
21,AA,3,18663,6.0,2000,1.26,0.8429857650043684,7,2.475,,0
22,AA,3,610,5.55,2000,1.26,0.8429857650043684,7,2.475,,0
23,AA,3,610,6.45,2001,1.17,1.0466947979234447,5,2.46,,0
24,AA,3,49831,7.44,2001,1.17,1.0466947979234447,5,2.46,,0
25,AA,3,103189,5.55,2001,1.17,1.0466947979234447,5,2.46,,0
26,AA,3,49831,4.98,2001,1.17,1.0466947979234447,5,2.46,,0
27,AA,3,40316,5.04,2001,1.17,1.0466947979234447,5,2.46,,0
28,AA,3,478,2.85,2003,0.99,0.17320508075688767,3,0.2999999999999998,29.12,0
29,AA,3,75066,3.15,2003,0.99,0.17320508075688767,3,0.2999999999999998,29.12,0
30,AA,3,478,3.15,2003,0.99,0.17320508075688767,3,0.2999999999999998,29.12,0
31,AA,3,478,5.4,2004,1.02,0.450422878227527,13,1.7400000000000002,,0
32,AA,3,107166,5.85,2004,1.02,0.450422878227527,13,1.7400000000000002,,0
33,AA,3,20310,6.54,2004,1.02,0.450422878227527,13,1.7400000000000002,,0
34,AA,3,80731,5.49,2004,1.02,0.450422878227527,13,1.7400000000000002,,0
